iter	Passed	Remaining
556	36828	62349
557	36886	62271
558	36942	62186
559	36997	62102
560	37058	62028
561	37125	61963
562	37183	61884
563	37243	61808
564	37303	61732
565	37361	61653
566	37414	61564
567	37470	61484
568	37529	61405
569	37587	61326
570	37645	61247
571	37709	61179
572	37773	61110
573	37830	61028
574	37883	60942
575	37941	60864
576	38005	60795
577	38066	60722
578	38123	60642
579	38178	60558
580	38236	60480
581	38301	60412
582	38362	60340
583	38428	60274
584	38490	60202
585	38555	60136
586	38617	60065
587	38674	59984
588	38732	59907
589	38791	59830
590	38847	59750
591	38905	59672
592	38961	59592
593	39023	59520
594	39091	59457
595	39158	59394
596	39216	59317
597	39279	59247
598	39343	59179
599	39404	59106
600	39469	59039
601	39524	58958
602	39580	58879
603	39635	58796
604	39692	58718
605	39751	58642
606	39812	58571
607	39869	58492
608	39927	58415
609	39986	58341
610	40043	58263
611	40100	58184
612	40153	58102
613	40214	58029
614	40274	57956
615	40333	57881
616	40389	57802
617	40444	57722
618	40511	57658
619	40580	57598
620	40644	57530
621	40707	57461
622	40763	57382
623	40819	57304
624	40875	57225
625	40936	57153
626	40994	57078
627	41057	57009
628	41117	56936
629	41178	56865
630	41236	56790
631	41301	56723
632	41366	56657
633	41431	56591
634	41486	56512
635	41546	56440
636	41610	56372
637	41666	56295
638	41724	56220
639	41783	56146
640	41842	56073
641	41908	56009
642	41967	55935
643	42023	55857
644	42082	55783
645	42139	55707
646	42197	55632
647	42252	55554
648	42309	55478
649	42365	55401
650	42422	55324
651	42489	55262
652	42549	55190
653	42604	55111
654	42661	55037
655	42716	54958
656	42770	54879
657	42826	54801
658	42892	54738
659	42958	54674
660	43015	54599
661	43071	54522
662	43126	54444
663	43181	54366
664	43237	54290
665	43294	54216
666	43350	54139
667	43406	54063
668	43467	53993
669	43525	53919
670	43581	53844
671	43636	53766
672	43701	53700
673	43763	53633
674	43820	53558
675	43875	53481
676	43930	53404
677	43988	53331
678	44046	53257
679	44103	53183
680	44158	53106
681	44218	53035
682	44277	52964
683	44342	52899
684	44404	52831
685	44469	52766
686	44533	52701
687	44589	52625
688	44646	52551
689	44704	52479
690	44762	52406
691	44820	52333
692	44876	52259
693	44932	52183
694	44990	52111
695	45048	52039
696	45106	51965
697	45162	51891
698	45221	51820
699	45278	51747
700	45335	51673
701	45398	51607
702	45462	51541
703	45517	51465
704	45571	51388
705	45631	51319
706	45690	51248
707	45751	51180
708	45809	51107
709	45870	51039
710	45936	50975
711	45991	50900
712	46047	50826
713	46105	50754
714	46160	50679
715	46215	50605
716	46277	50536
717	46335	50466
718	46401	50402
719	46466	50338
720	46523	50265
721	46586	50200
722	46652	50137
723	46718	50073
724	46783	50009
725	46838	49934
726	46896	49863
727	46954	49792
728	47011	49720
729	47069	49648
730	47133	49584
731	47193	49514
732	47252	49444
733	47306	49369
734	47366	49300
735	47432	49237
736	47493	49169
737	47546	49092
738	47600	49017
739	47657	48945
740	47715	48874
741	47772	48802
742	47831	48732
743	47889	48662
744	47945	48588
745	48003	48517
746	48059	48445
747	48118	48375
748	48172	48300
749	48230	48230
750	48288	48160
751	48346	48089
752	48403	48018
753	48459	47945
754	48517	47874
755	48573	47802
756	48630	47731
757	48688	47660
758	48747	47591
759	48805	47521
760	48864	47451
761	48929	47388
762	48989	47320
763	49046	47249
764	49104	47178
765	49158	47105
766	49219	47038
767	49285	46975
768	49345	46907
769	49409	46843
770	49475	46780
771	49529	46706
772	49585	46634
773	49644	46565
774	49704	46497
775	49760	46426
776	49818	46356
777	49874	46284
778	49932	46214
779	49991	46146
780	50053	46080
781	50110	46009
782	50166	45937
783	50222	45866
784	50283	45799
785	50348	45736
786	50407	45667
787	50462	45595
788	50521	45527
789	50577	45456
790	50634	45385
791	50689	45313
792	50749	45245
793	50805	45174
794	50860	45102
795	50927	45041
796	50991	44977
797	51046	44905
798	51106	44838
799	51165	44769
800	51223	44700
801	51278	44628
802	51334	44558
803	51404	44499
804	51468	44435
805	51530	44370
806	51588	44301
807	51647	44232
808	51706	44164
809	51765	44096
810	51823	44028
811	51879	43956
812	51935	43886
813	51990	43815
814	52050	43747
815	52106	43677
816	52163	43608
817	52218	43536
818	52275	43466
819	52332	43397
820	52387	43326
821	52445	43258
822	52504	43190
823	52563	43122
824	52621	43054
825	52682	42987
826	52737	42917
827	52799	42851
828	52870	42794
829	52932	42728
830	52992	42662
831	53058	42599
832	53116	42531
833	53169	42459
834	53224	42388
835	53278	42317
836	53334	42247
837	53388	42175
838	53440	42102
839	53498	42034
840	53559	41968
841	53625	41906
842	53678	41835
843	53739	41769
844	53795	41699
845	53861	41637
846	53926	41574
847	53985	41507
848	54044	41440
849	54107	41376
850	54167	41309
851	54227	41243
852	54286	41176
853	54350	41112
854	54412	41047
855	54470	40979
856	54530	40913
857	54592	40848
858	54662	40790
859	54727	40727
860	54790	40663
861	54847	40594
862	54914	40533
863	54974	40467
864	55028	40396
865	55085	40328
866	55139	40257
867	55199	40191
868	55256	40122
869	55313	40054
870	55374	39989
871	55434	39922
872	55490	39854
873	55544	39783
874	55599	39714
875	55655	39645
876	55716	39579
877	55780	39516
878	55836	39447
879	55902	39385
880	55968	39324
881	56026	39256
882	56082	39187
883	56146	39124
884	56211	39062
885	56267	38993
886	56327	38927
887	56396	38867
888	56461	38805
889	56526	38742
890	56585	38676
891	56641	38607
892	56699	38540
893	56754	38471
894	56812	38403
895	56869	38336
896	56925	38267
897	56981	38199
898	57039	38132
899	57097	38065
900	57156	37998
901	57213	37930
902	57269	37862
903	57325	37794
904	57385	37728
905	57442	37661
906	57503	37596
907	57559	37527
908	57618	37461
909	57675	37394
910	57730	37325
911	57785	37256
912	57841	37188
913	57898	37120
914	57956	37054
915	58014	36987
916	58072	36920
917	58129	36853
918	58186	36785
919	58247	36721
920	58303	36653
921	58360	36585
922	58418	36519
923	58479	36454
924	58537	36388
925	58596	36321
926	58651	36253
927	58707	36185
928	58768	36121
929	58823	36053
930	58880	35985
931	58937	35919
932	58992	35850
933	59059	35789
934	59129	35730
935	59213	35680
936	59281	35619
937	59348	35558
938	59413	35496
939	59475	35432
940	59536	35367
941	59593	35300
942	59649	35233
943	59705	35165
944	59761	35098
945	59821	35032
946	59881	34967
947	59945	34905
948	60008	34841
949	60068	34776
950	60126	34710
951	60191	34648
952	60252	34583
953	60307	34515
954	60362	34447
955	60420	34381
956	60479	34315
957	60534	34248
958	60596	34184
959	60662	34122
960	60720	34056
961	60777	33989
962	60835	33923
963	60889	33855
964	60955	33793
965	61017	33730
966	61073	33663
967	61133	33598
968	61189	33531
969	61245	33464
970	61302	33397
971	61358	33330
972	61414	33263
973	61470	33196
974	61525	33128
975	61582	33062
976	61652	33003
977	61722	32943
978	61786	32881
979	61842	32814
980	61899	32747
981	61965	32686
982	62028	32623
983	62085	32556
984	62141	32490
985	62200	32425
986	62260	32360
987	62323	32297
988	62390	32236
989	62447	32169
990	62503	32103
991	62559	32036
992	62616	31970
993	62677	31906
994	62743	31844
995	62799	31778
996	62856	31712
997	62912	31645
998	62969	31579
999	63034	31517
1000	63099	31455
1001	63166	31393
1002	63233	31333
1003	63299	31271
1004	63359	31207
1005	63415	31140
1006	63472	31074
1007	63532	31010
1008	63592	30945
1009	63648	30879
1010	63704	30812
1011	63765	30748
1012	63821	30682
1013	63882	30618
1014	63938	30551
1015	63996	30486
1016	64055	30421
1017	64111	30355
1018	64168	30289
1019	64225	30223
1020	64280	30157
1021	64339	30092
1022	64396	30026
1023	64453	29960
1024	64512	29896
1025	64572	29831
1026	64636	29769
1027	64691	29702
1028	64746	29636
1029	64805	29571
1030	64861	29505
1031	64914	29437
1032	64974	29373
1033	65040	29312
1034	65100	29247
1035	65154	29181
1036	65219	29119
1037	65281	29056
1038	65345	28993
1039	65406	28929
1040	65464	28864
1041	65519	28798
1042	65577	28733
1043	65633	28667
1044	65689	28601
1045	65746	28536
1046	65808	28473
1047	65865	28407
1048	65922	28342
1049	65977	28276
1050	66034	28210
1051	66095	28146
1052	66152	28081
1053	66227	28024
1054	66291	27961
1055	66349	27896
1056	66406	27831
1057	66462	27766
1058	66517	27699
1059	66573	27634
1060	66630	27569
1061	66686	27503
1062	66748	27440
1063	66811	27377
1064	66865	27311
1065	66919	27244
1066	66985	27183
1067	67049	27121
1068	67106	27056
1069	67161	26990
1070	67216	26924
1071	67275	26859
1072	67338	26797
1073	67406	26736
1074	67472	26675
1075	67530	26610
1076	67589	26546
1077	67644	26480
1078	67706	26417
1079	67765	26353
1080	67820	26287
1081	67875	26221
1082	67934	26157
1083	67990	26092
1084	68046	26027
1085	68104	25962
1086	68158	25896
1087	68215	25831
1088	68273	25767
1089	68329	25701
1090	68387	25637
1091	68443	25572
1092	68500	25507
1093	68557	25442
1094	68612	25377
1095	68670	25312
1096	68738	25252
1097	68801	25189
1098	68863	25126
1099	68925	25063
1100	68988	25001
1101	69047	24937
1102	69105	24872
