iter	AUC	Logloss
689	0.7862144411	0.3984229167
690	0.7862279713	0.3984120117
691	0.7862309217	0.3984035482
692	0.7862649858	0.3983826497
693	0.7862834632	0.3983703776
694	0.7862944007	0.3983600586
695	0.7863053083	0.3983505859
696	0.7863131762	0.3983433594
697	0.7863157094	0.3983366211
698	0.7863192558	0.3983284831
699	0.7863450348	0.3983135742
700	0.7863513827	0.3983053385
701	0.7863584459	0.3982992513
702	0.7863635719	0.3982910156
703	0.7863661647	0.3982842122
704	0.786370784	0.3982783529
705	0.7863867283	0.3982669922
706	0.7863938808	0.3982575195
707	0.7863987386	0.3982513346
708	0.7864045203	0.3982454102
709	0.7864056826	0.3982384766
710	0.7864082456	0.3982326823
711	0.7864303589	0.3982199219
712	0.7864395976	0.3982122396
713	0.7864689231	0.3981918294
714	0.7864823341	0.3981828451
715	0.7864925265	0.398174056
716	0.7864955366	0.3981676432
717	0.786501348	0.3981604818
718	0.7864971459	0.3981538411
719	0.7865122557	0.3981426758
720	0.7865246534	0.398132487
721	0.7865334153	0.3981242187
722	0.7865368724	0.398118099
723	0.7865394354	0.398111556
724	0.7865391076	0.3981036784
725	0.7865419388	0.3980970703
726	0.7865530252	0.3980885417
727	0.7865568399	0.398082194
728	0.7865765095	0.3980708659
729	0.786585629	0.3980625326
730	0.7865963578	0.3980563151
731	0.7865954936	0.3980502604
732	0.7866006196	0.3980441081
733	0.7866017222	0.3980390299
734	0.7866095901	0.3980316081
735	0.7866183519	0.3980239909
736	0.7866244614	0.3980152344
737	0.7866425812	0.3980039062
738	0.786650002	0.397996224
739	0.7866533399	0.3979908203
740	0.7866819501	0.3979725586
741	0.7866908014	0.3979639974
742	0.7866871357	0.3979576172
743	0.786695689	0.3979520182
744	0.7867011726	0.3979476237
745	0.7867026925	0.3979424154
746	0.7867180109	0.3979322917
747	0.7867175043	0.397926888
748	0.7867227197	0.3979202148
749	0.7867263258	0.3979141927
750	0.7867380381	0.3979058268
751	0.7867450714	0.3978986979
752	0.786742419	0.3978933919
753	0.7867653072	0.3978771159
754	0.7867737114	0.3978700195
755	0.7867774367	0.3978630534
756	0.7868013382	0.3978480794
757	0.7868079841	0.3978424805
758	0.7868078351	0.3978366536
759	0.7868149877	0.3978284831
760	0.7868285775	0.3978193685
761	0.7868370414	0.3978121745
762	0.7868475914	0.3978039714
763	0.7868538797	0.3977973633
764	0.7868677378	0.3977886068
765	0.7868692875	0.3977828125
766	0.7868750095	0.3977764648
767	0.7868768871	0.3977715169
768	0.786875546	0.3977657227
769	0.7868806422	0.3977604167
770	0.786886096	0.3977546875
771	0.7868976593	0.3977450521
772	0.7868967056	0.3977395508
773	0.7869031727	0.3977336589
774	0.7869066894	0.3977285807
775	0.7869125009	0.3977226888
776	0.786909312	0.3977184896
777	0.7869164646	0.397711263
778	0.7869382799	0.3976958984
779	0.7869413197	0.3976903971
780	0.7869509459	0.3976827474
781	0.786961019	0.3976761719
782	0.7869710624	0.3976687826
783	0.7869808972	0.3976597005
784	0.7869841456	0.3976552409
785	0.7869891524	0.3976494466
786	0.7869848311	0.3976442708
787	0.7869925499	0.3976376628
788	0.7870008349	0.3976298828
789	0.7870049179	0.397624349
790	0.7870151401	0.3976165039
791	0.7870235443	0.3976094076
792	0.7870290279	0.3976041992
793	0.787034452	0.3975972982
794	0.787039876	0.3975933594
795	0.7870462239	0.3975888346
796	0.7870501876	0.3975833984
797	0.787053287	0.3975792643
798	0.7870643139	0.3975708008
799	0.7870689631	0.3975652344
800	0.7870687246	0.3975583659
801	0.7870795727	0.3975498698
802	0.7870815694	0.3975455078
803	0.787086606	0.3975408854
804	0.7870963216	0.3975337891
805	0.7871000767	0.3975290365
806	0.7871203125	0.3975159505
807	0.7871215343	0.3975123698
808	0.78714028	0.3974988607
809	0.7871456146	0.3974944661
810	0.7871488929	0.397489974
811	0.7871519923	0.3974849284
812	0.7871539295	0.3974799154
813	0.787152946	0.397476237
814	0.7871580124	0.3974720703
815	0.7871629	0.3974663411
816	0.7871722877	0.3974592122
817	0.7871745825	0.3974542318
818	0.7871798277	0.3974502279
819	0.7871905267	0.3974435547
820	0.7871991396	0.3974373047
821	0.7871973813	0.3974341797
822	0.7872002423	0.3974289714
823	0.7872104645	0.3974233398
824	0.7872081399	0.3974189128
825	0.7872147262	0.3974138997
826	0.7872264683	0.3974060547
827	0.7872288227	0.3974001953
828	0.7872377038	0.39739375
829	0.7872416675	0.3973895833
830	0.7872483134	0.3973827474
831	0.7872513533	0.3973786458
832	0.7872549593	0.3973741211
833	0.787256211	0.3973688802
834	0.7872589231	0.3973654297
835	0.7872588038	0.3973615885
836	0.7872681916	0.3973548503
837	0.7872744501	0.397349349
838	0.7872831523	0.397343099
839	0.7872872353	0.3973376628
840	0.7872853279	0.3973371419
841	0.7872835994	0.397334668
842	0.78729707	0.3973265625
843	0.7872996628	0.3973216471
844	0.7872995734	0.3973159505
845	0.7873066664	0.3973102539
846	0.7873093784	0.3973056315
847	0.7873109281	0.3973011393
848	0.7873138487	0.3972973307
849	0.7873237729	0.3972899414
850	0.7873342633	0.3972829102
851	0.7873364389	0.3972797526
852	0.7873392105	0.3972754557
853	0.7873464525	0.3972706706
854	0.7873527706	0.3972657552
855	0.7873562276	0.3972626953
856	0.7873595357	0.3972583984
857	0.787364006	0.3972535807
858	0.7873673737	0.3972493815
859	0.7873772979	0.3972403971
860	0.78738603	0.3972347656
861	0.7873936594	0.3972279622
862	0.7873934507	0.3972258789
863	0.7873966098	0.3972232422
864	0.7874011397	0.3972192383
865	0.7874068916	0.3972150716
866	0.7874070704	0.3972115234
867	0.7874093652	0.3972059896
868	0.7874259949	0.3971952799
869	0.7874374092	0.3971882812
870	0.7874417603	0.3971846029
871	0.7874498367	0.3971786133
872	0.7874593139	0.3971713867
873	0.7874603868	0.397167513
874	0.7874612212	0.3971637695
875	0.7874763608	0.397154069
876	0.7874827385	0.3971493164
877	0.7874953151	0.3971418945
878	0.7874943614	0.3971388672
879	0.7875025272	0.3971326172
880	0.7875087559	0.3971265951
881	0.7875239551	0.3971155924
882	0.7875290513	0.3971104167
